order_id,order_date,customer_id,product_category,quantity,price
1,2023-04-26,5002,Clothing,2,25.5
2,2023-03-08,5003,Home,4,15.0
3,2023-11-28,5004,Clothing,1,45.0
4,2023-10-30,5005,Sports,2,120.0
5,2023-04-22,5006,Home,1,250.0
6,2023-03-29,5007,Electronics,3,15.99
7,2023-10-12,5008,Clothing,5,10.0
8,2023-12-14,5009,Sports,1,450.0
9,2023-11-05,5010,Home,2,45.5
10,2023-12-07,5011,Beauty,3,12.99
11,2023-03-15,5012,Toys,1,59.99
12,2023-03-30,5013,,1,1200.0
13,2023-08-25,5014,Sports,4,18.5
14,2023-10-23,5015,Beauty,2,35.0
15,2023-05-29,5016,Clothing,1,85.0
16,2023-06-16,5017,Toys,5,9.99
17,2023-08-28,5018,Home,1,199.99
18,2023-12-20,5019,Electronics,2,45.0
19,2023-11-17,5020,Sports,1,89.0
20,2023-04-20,5021,Beauty,1,110.0
21,2023-09-09,5022,Clothing,3,22.5
22,2023-04-07,5023,Toys,2,15.0
23,2023-04-12,5024,Home,4,12.5
24,2023-04-20,5025,Electronics,1,350.0
25,2023-05-02,5026,Sports,2,65.0
26,2023-03-09,5027,Beauty,4,8.99
27,2023-03-08,5028,Clothing,1,120.0
28,2023-11-01,5029,Toys,1,145.0
29,2023-03-15,5030,Home,2,75.0
30,2023-09-24,5001,Electronics,1,899.99
31,2023-07-12,5002,Clothing,2,25.5
32,2023-05-05,5003,Home,4,15.0
33,2023-02-24,5004,Clothing,1,45.0
34,2023-11-20,5005,Sports,2,120.0
35,2023-08-14,5006,Home,1,250.0
36,2023-05-08,5007,Electronics,3,15.99
37,2023-12-21,5008,Clothing,5,10.0
38,2023-05-16,5009,Sports,1,450.0
39,2023-11-15,5010,Home,2,
40,2023-12-29,5011,Beauty,3,12.99
41,2023-01-03,5012,Toys,1,59.99
42,2023-09-06,5013,Electronics,1,1200.0
43,2023-04-10,5014,Sports,4,18.5
44,2023-11-05,5015,Beauty,2,35.0
45,2023-09-03,5016,Clothing,1,85.0
46,2023-09-09,5017,Toys,5,9.99
47,2023-01-11,5018,Home,1,199.99
48,2023-11-01,5019,Electronics,2,
49,2023-12-08,5020,Sports,1,89.0
50,2023-04-18,5021,Beauty,1,110.0
51,2023-07-30,5022,Clothing,3,22.5
52,2023-04-06,5023,Toys,2,15.0
53,2023-09-07,5024,Home,4,12.5
54,2023-04-01,5025,Electronics,1,350.0
55,2023-03-31,5026,Sports,2,65.0
56,2023-04-06,5027,Beauty,4,8.99
57,2023-11-26,5028,Clothing,1,120.0
58,2023-06-16,5029,Toys,1,145.0
59,2023-08-20,5030,Home,2,75.0
60,2023-06-15,5001,Electronics,1,899.99
61,2023-03-17,5002,Clothing,2,25.5
62,2023-07-29,5003,Home,4,15.0
63,2023-01-23,5004,Clothing,1,45.0
64,2023-10-12,5005,Sports,2,120.0
65,2023-01-05,5006,Home,1,250.0
66,2023-04-23,5007,Electronics,3,15.99
67,2023-09-04,5008,Clothing,5,
68,2023-10-09,5009,Sports,1,450.0
69,2023-10-20,5010,Home,2,45.5
70,2023-08-07,5011,Beauty,3,12.99
71,2023-06-04,5012,Toys,1,59.99
72,2023-04-20,5013,Electronics,1,1200.0
73,2023-01-03,5014,Sports,4,18.5
74,2023-09-25,5015,Beauty,2,35.0
75,2023-12-24,5016,Clothing,1,85.0
76,2023-03-16,5017,Toys,5,9.99
77,2023-03-14,5018,Home,1,199.99
78,2023-02-26,5019,Electronics,2,45.0
79,2023-07-03,5020,Sports,1,89.0
80,2023-12-06,5021,Beauty,1,110.0
81,2023-06-29,5022,Clothing,3,22.5
82,2023-09-21,5023,Toys,2,15.0
83,2023-05-16,5024,Home,4,12.5
84,2023-07-24,5025,Electronics,1,350.0
85,2023-03-27,5026,Sports,2,65.0
86,2023-07-23,5027,Beauty,4,8.99
87,2023-01-02,5028,Clothing,1,120.0
88,2023-03-13,5029,Toys,1,145.0
89,2023-01-13,5030,Home,2,75.0
90,2023-11-29,5001,Electronics,1,899.99
91,2023-10-11,5002,Clothing,2,25.5
92,2023-01-08,5003,Home,4,15.0
93,2023-04-25,5004,Clothing,1,45.0
94,2023-05-19,5005,Sports,2,120.0
95,2023-09-23,5006,Home,1,250.0
96,2023-02-24,5007,Electronics,3,15.99
97,2023-08-17,5008,Clothing,5,10.0
98,2023-09-02,5009,Sports,1,450.0
99,2023-11-18,5010,Home,2,45.5
100,2023-02-06,5011,Beauty,3,12.99
101,2023-07-26,5012,Toys,1,59.99
102,2023-06-12,5013,Electronics,1,1200.0
103,2023-04-29,5014,Sports,4,18.5
104,2023-11-28,5015,Beauty,2,35.0
105,2023-07-17,5016,Clothing,1,85.0
106,2023-01-03,5017,Toys,5,9.99
107,2023-01-01,5018,Home,1,199.99
108,2023-10-29,5019,,2,45.0
109,2023-09-10,5020,Sports,1,89.0
110,2023-07-05,5021,Beauty,1,110.0
111,2023-02-11,5022,Clothing,3,22.5
112,2023-01-31,5023,Toys,2,15.0
113,2023-05-17,5024,Home,4,12.5
114,2023-09-07,5025,Electronics,1,350.0
115,2023-05-31,5026,Sports,2,65.0
116,2023-06-04,5027,Beauty,4,8.99
117,2023-04-27,5028,Clothing,1,120.0
118,2023-06-20,5029,Toys,1,
119,2023-12-05,5030,Home,2,75.0
120,2023-11-28,5001,Electronics,1,899.99
121,2023-03-03,5002,Clothing,2,25.5
122,2023-12-03,5003,Home,4,15.0
123,2023-05-11,5004,Clothing,1,45.0
